Gene stable ID	Gene name	NCBI gene ID
ENSRNOG00000016852	Apobec3	164668
ENSRNOG00000013574	Appl1	26060
ENSRNOG00000037198	Usp18	11274
ENSRNOG00000016239	Zadh2	284273
ENSRNOG00000008847	Gja3	2700
ENSRNOG00000020193	Runx2	860
ENSRNOG00000025504	Ankrd46	157567
ENSRNOG00000045961	Lyrm7	90624
ENSRNOG00000013535	Cdh6	1004
ENSRNOG00000024506	LOC500475	257169
ENSRNOG00000001262	LOC108348157	84221
ENSRNOG00000023985	Fan1	22909
ENSRNOG00000010708	Gata4	2626
ENSRNOG00000005630	AABR07060778.1	3094
ENSRNOG00000014485	Pdcd6	10016
ENSRNOG00000014263	Olr854	26248
ENSRNOG00000019005	Pde8a	5151
ENSRNOG00000003683	Glp2r	9340
ENSRNOG00000030269	Atp2b2	491
ENSRNOG00000014205	Klf2	10365
ENSRNOG00000010063	Htr2a	3356
ENSRNOG00000039588	Mcidas	345643
ENSRNOG00000000622	Hint1	3094
ENSRNOG00000056228	Atp10a	57194
ENSRNOG00000008733	Lsm3	27258
ENSRNOG00000004000	Tefm	79736
ENSRNOG00000011977	Sema5a	9037
ENSRNOG00000009897	Clcnkb	1188
ENSRNOG00000011207	Gh1	2689
ENSRNOG00000017701	Asip	434
ENSRNOG00000037753	Slc10a2	6555
ENSRNOG00000001582	Bach1	571
ENSRNOG00000010454	Ccno	10309
ENSRNOG00000010342	Zfand1	79752
ENSRNOG00000006652	Ddx1	1653
ENSRNOG00000010369	Dhx29	54505
ENSRNOG00000020442	Ubl5	59286
ENSRNOG00000016992	Potec	23784
ENSRNOG00000001575	Grik1	2897
ENSRNOG00000001225	Fam207a	85395
ENSRNOG00000014543	Tbc1d2b	23102
ENSRNOG00000058891	Cys1	192668
ENSRNOG00000008765	Zfhx4	79776
ENSRNOG00000027908	Actrt3	84517
ENSRNOG00000018141	RGD1307443	9856
ENSRNOG00000004950	Ubxn2a	165324
ENSRNOG00000013806	Mplkip	136647
ENSRNOG00000008855	Gjb2	2706
ENSRNOG00000018820	Plac8l1	153770
ENSRNOG00000022777	Six1	6495
ENSRNOG00000021548	Rassf1	11186
ENSRNOG00000030157	Dhx16	8449
ENSRNOG00000001214	Pfkl	5211
ENSRNOG00000018502	Mon1a	84315
ENSRNOG00000018304	Lars	51520
ENSRNOG00000026691	Coq4	51117
ENSRNOG00000013253	Armc1	55156
ENSRNOG00000008786	Ap1b1	162
ENSRNOG00000052368	Clcnka	1188
ENSRNOG00000016244	Mical2	9645
ENSRNOG00000016244	Mical2	84953
ENSRNOG00000020904	Cdc42ep2	10435
ENSRNOG00000032375	Capn13	92291
ENSRNOG00000000812	RGD1302996	221545
ENSRNOG00000019930	Rhot2	89941
ENSRNOG00000054681	LOC108348042	23784
ENSRNOG00000019518	Pde4c	5143
ENSRNOG00000022802	Tmem184b	25829
ENSRNOG00000016875	Cbx7	23492
ENSRNOG00000018598	Ankrd1	27063
ENSRNOG00000014961	Pdpn	10630
ENSRNOG00000038569	Hsfy2	159119
ENSRNOG00000012089	Cstf3	1479
ENSRNOG00000027295	LOC108348064	83464
ENSRNOG00000040121	AABR07028999.1	23784
ENSRNOG00000015999	Cirbp	1153
ENSRNOG00000019486	Trpv1	7442
ENSRNOG00000017577	Bphl	670
ENSRNOG00000050258	Ccnd3	896
ENSRNOG00000042741	Adgb	79747
ENSRNOG00000002855	Rfc1	5981
ENSRNOG00000017777	Ahcy	191
ENSRNOG00000059091	Potem	23784
ENSRNOG00000019458	Shpk	23729
ENSRNOG00000007519	Tmem43	79188
ENSRNOG00000001108	N4bp2l2	10443
ENSRNOG00000042576	Tcp11l1	55346
ENSRNOG00000012934	Arhgef7	8874
ENSRNOG00000005911	Rln3	117579
ENSRNOG00000006699	Mlh3	27030
ENSRNOG00000036701	LOC100361457	71
ENSRNOG00000008274	Xpc	7508
ENSRNOG00000013346	Asb14	142686
ENSRNOG00000007067	Padi1	29943
ENSRNOG00000001706	Kalrn	8997
ENSRNOG00000009802	Fam124a	220108
ENSRNOG00000013634	Myd88	4615
ENSRNOG00000050843	Mmut	4594
ENSRNOG00000013658	Nefl	4747
ENSRNOG00000020044	Mob2	81532
ENSRNOG00000045771	Chl1	10752
ENSRNOG00000020906	Pola2	23649
ENSRNOG00000016246	Tshz1	10194
ENSRNOG00000029841	Cdh19	28513
ENSRNOG00000003233	Serpinf2	5345
ENSRNOG00000019365	Ablim3	22885
ENSRNOG00000048897	Vmac	400673
ENSRNOG00000019403	Afap1l1	134265
ENSRNOG00000019667	Ppfibp2	8495
ENSRNOG00000054423	Pemt	10400
ENSRNOG00000016924	Acly	47
ENSRNOG00000054549	Lss	4047
ENSRNOG00000020733	Camp	820
ENSRNOG00000018488	Cd40	958
ENSRNOG00000058983	Gata5	140628
ENSRNOG00000009220	Tmem17	200728
ENSRNOG00000010155	Pcm1	5108
ENSRNOG00000059322	N4bp2l1	90634
ENSRNOG00000018943	Tnnc1	7134
ENSRNOG00000008256	Mrpl38	64978
ENSRNOG00000001967	Sult1b1	27284
ENSRNOG00000005619	Misp3	113230
ENSRNOG00000017558	Tubb2a	7280
ENSRNOG00000016538	Itga8	8516
ENSRNOG00000006399	Synj2bp	55333
ENSRNOG00000042596	Fam205a	259308
ENSRNOG00000005747	Il27ra	9466
ENSRNOG00000046794	Khdrbs1	10657
ENSRNOG00000016258	Zfp516	9658
ENSRNOG00000022622	Slc38a6	145389
ENSRNOG00000001872	Lrrc74b	400891
ENSRNOG00000039417	Dda1	79016
ENSRNOG00000007250	Six4	51804
ENSRNOG00000008691	Ick	22858
ENSRNOG00000013692	Abhd18	80167
ENSRNOG00000012061	Prkcb	5579
ENSRNOG00000008737	Tbc1d21	161514
ENSRNOG00000008288	Akirin2	55122
ENSRNOG00000001251	Grifin	402635
ENSRNOG00000010835	Dmbx1	127343
ENSRNOG00000000942	Pan3	255967
ENSRNOG00000029485	Psg29	90273
ENSRNOG00000019426	Ramac	83640
ENSRNOG00000016357	Casc4	113201
ENSRNOG00000025076	Ecpas	23392
ENSRNOG00000014771	Wfdc8	90199
ENSRNOG00000000251	St6galnac1	55808
ENSRNOG00000002612	Ddx52	11056
ENSRNOG00000005963	Rab2a	5862
ENSRNOG00000018246	Tdp2	51567
ENSRNOG00000004681	Eny2	56943
ENSRNOG00000011059	Ttbk2	146057
ENSRNOG00000052273	LOC100363116	123207
ENSRNOG00000031380	Wfdc9	259240
ENSRNOG00000019138	Clec11a	6320
ENSRNOG00000022751	Fam205c	100129969
ENSRNOG00000012216	Tgfbi	7045
ENSRNOG00000010238	Chmp4c	92421
ENSRNOG00000027607	Ceacam3	90273
ENSRNOG00000003919	Rps6kb1	6198
ENSRNOG00000005533	LOC686013	646457
ENSRNOG00000056753	Hectd2	143279
ENSRNOG00000024553	Cyb5d2	124936
ENSRNOG00000001250	Lfng	3955
ENSRNOG00000011311	Papss1	9061
ENSRNOG00000010983	Otog	340990
ENSRNOG00000012379	Wdr18	57418
ENSRNOG00000007675	Gpr63	81491
ENSRNOG00000015654	Ghr	2690
ENSRNOG00000024863	Fam76b	143684
ENSRNOG00000047303	Med18	54797
ENSRNOG00000012255	Ktn1	3895
ENSRNOG00000001252	Chst12	55501
ENSRNOG00000056226	AABR07066944.1	55166
ENSRNOG00000023230	RGD1307621	122525
ENSRNOG00000024703	Dock5	80005
ENSRNOG00000009873	Ints6	26512
ENSRNOG00000059880	Rubcn	9711
ENSRNOG00000053404	NEWGENE_1306267	60490
ENSRNOG00000016135	Fars2	10667
ENSRNOG00000016816	Phf2	5253
ENSRNOG00000048172	Rac3	5881
ENSRNOG00000017226	Slc2a4	6517
ENSRNOG00000054648	Tspy1	728403
ENSRNOG00000019918	Coasy	80347
ENSRNOG00000017190	Foxl2	668
ENSRNOG00000049989	AABR07063351.1	80304
ENSRNOG00000019451	Smtn	6525
ENSRNOG00000012406	Pcbp4	57060
ENSRNOG00000003172	Serpinf1	5176
ENSRNOG00000016496	Ctsc	1075
ENSRNOG00000017620	Ceacam11	90273
ENSRNOG00000018676	RGD1562987	497661
ENSRNOG00000017821	Agxt2	64902
ENSRNOG00000013374	Tcp10b	140290
ENSRNOG00000018711	Ppcdc	60490
ENSRNOG00000023412	Tmem241	85019
ENSRNOG00000061450	Homer2	9455
ENSRNOG00000034290	Ccl21	6366
ENSRNOG00000015868	Insl6	11172
ENSRNOG00000007267	Mnat1	4331
ENSRNOG00000037148	Adap2	55803
ENSRNOG00000019529	Btbd1	53339
ENSRNOG00000059968	Jak2	3717
ENSRNOG00000050946	Fam110a	83541
ENSRNOG00000042449	Cdc42se2	56990
ENSRNOG00000042250	Cgm4	90273
ENSRNOG00000016744	Chd6	84181
ENSRNOG00000052296	Shank3	85358
ENSRNOG00000001957	Sult1e1	6783
ENSRNOG00000038436	RGD1307100	84162
ENSRNOG00000017866	Sirt5	23408
ENSRNOG00000001714	Atp13a4	84239
ENSRNOG00000014046	Sertm1	400120
ENSRNOG00000023508	Mfsd2b	388931
ENSRNOG00000022116	Gjb6	10804
ENSRNOG00000024120	Rxfp1	59350
ENSRNOG00000017519	LOC102557244	90273
ENSRNOG00000043425	AC126572.4	102723849
ENSRNOG00000016212	Ankfy1	51479
ENSRNOG00000005008	Angpt4	51378
ENSRNOG00000011189	Acy1	100526760
ENSRNOG00000032381	Naglu	4669
ENSRNOG00000012644	Nup58	9818
ENSRNOG00000029394	Dusp8	1850
ENSRNOG00000003342	AABR07037798.1	29078
ENSRNOG00000012795	Cables1	91768
ENSRNOG00000007785	Trmt5	57570
ENSRNOG00000019830	Hsd17b1	3292
ENSRNOG00000023746	Tmem39b	55116
ENSRNOG00000017283	Kcnt1	57582
ENSRNOG00000001704	Runx1	861
ENSRNOG00000015668	Ccl19	6363
ENSRNOG00000019807	Sufu	51684
ENSRNOG00000020134	Upf1	5976
ENSRNOG00000017510	Mfge8	4240
ENSRNOG00000010537	Dis3l	115752
ENSRNOG00000006131	Mettl2b	339175
ENSRNOG00000047143	Fkbp1b	2281
ENSRNOG00000007128	Nop56	10528
ENSRNOG00000020994	Slc25a39	51629
ENSRNOG00000037462	Eml6	400954
ENSRNOG00000027271	RGD1359290	100526842
ENSRNOG00000000177	Plpp2	8612
ENSRNOG00000000054	Abhd8	79575
ENSRNOG00000031067	Si	6476
ENSRNOG00000019103	Cln3	1201
ENSRNOG00000016299	Klf4	9314
ENSRNOG00000003648	Cldn6	9074
ENSRNOG00000032307	Dsel	92126
ENSRNOG00000023008	Fam131c	348487
ENSRNOG00000012847	Scgb1c1	653486
ENSRNOG00000007506	Ndufaf4	29078
ENSRNOG00000027935	Lrrc34	151827
ENSRNOG00000017663	Dolpp1	57171
ENSRNOG00000021015	Sbsn	374897
ENSRNOG00000024837	Tpte2	7179
ENSRNOG00000003805	Rnft1	51136
ENSRNOG00000026238	Insyn1	388135
ENSRNOG00000020721	Nme6	10201
ENSRNOG00000000175	Mier2	54531
ENSRNOG00000003546	Tnfrsf12a	51330
ENSRNOG00000017117	Ybx2	51087
ENSRNOG00000006060	Matn2	4147
ENSRNOG00000060054	Doc2b	8447
ENSRNOG00000009468	Il12a	3592
ENSRNOG00000011912	Tmem38a	79041
ENSRNOG00000007895	Pdhb	5162
ENSRNOG00000032241	Fscb	84075
ENSRNOG00000019977	Ptprf	5792
ENSRNOG00000011754	Myom2	9172
ENSRNOG00000015660	Pex3	8504
ENSRNOG00000004060	Calm2	801
ENSRNOG00000010017	Wee1	7465
ENSRNOG00000015551	Fuca2	2519
ENSRNOG00000014052	Ccna1	8900
ENSRNOG00000016301	Dmrt2	10655
ENSRNOG00000011917	Cd79b	974
ENSRNOG00000001711	Hrasls	57110
ENSRNOG00000005729	Palm3	342979
ENSRNOG00000021144	Cebpg	1054
ENSRNOG00000053288	Ank3	288
ENSRNOG00000001237	Cabin1	23523
ENSRNOG00000027923	Mynn	55892
ENSRNOG00000047102	Popdc3	64208
ENSRNOG00000024991	AABR07006055.1	440021
ENSRNOG00000024991	AABR07006055.1	439915
ENSRNOG00000025130	Ltk	4058
ENSRNOG00000001101	Rnf216	54476
ENSRNOG00000009054	Elmod1	55531
ENSRNOG00000006792	Cep57	9702
ENSRNOG00000013959	Skor1	390598
ENSRNOG00000052152	Antxrl	195977
ENSRNOG00000018532	Pcgf5	84333
ENSRNOG00000013265	Tgfbr2	7048
ENSRNOG00000050990	Glyatl3	389396
ENSRNOG00000002834	AABR07015003.1	152831
ENSRNOG00000003654	Cldn9	9080
ENSRNOG00000007542	Scg5	6447
ENSRNOG00000021025	Ppp2r5b	5526
ENSRNOG00000016544	Arhgef28	64283
ENSRNOG00000042158	Ceacam12	90273
ENSRNOG00000023474	Dazl	1618
ENSRNOG00000017552	Mrpl34	64981
ENSRNOG00000016603	Rtn2	6253
ENSRNOG00000040279	Slf1	84250
ENSRNOG00000016926	Plekhs1	79949
ENSRNOG00000009814	Serpine3	647174
ENSRNOG00000047115	Cox16	51241
ENSRNOG00000027288	Psgb1	90273
ENSRNOG00000018886	Prxl2c	195827
ENSRNOG00000034233	Fyttd1	84248
ENSRNOG00000013884	Psd3	23362
ENSRNOG00000021399	Cfap298	56683
ENSRNOG00000021399	Cfap298	110091775
ENSRNOG00000011207	Gh1	1442
ENSRNOG00000011207	Gh1	1444
ENSRNOG00000011207	Gh1	2688
ENSRNOG00000003633	Rcvrn	5957
ENSRNOG00000007727	Lhfpl4	375323
ENSRNOG00000006950	Padi3	51702
ENSRNOG00000053430	Slco4a1	28231
ENSRNOG00000021237	RGD1565616	25943
ENSRNOG00000008214	Fbxo9	26268
ENSRNOG00000030247	Eif4ebp3	404734
ENSRNOG00000030247	Eif4ebp3	54882
ENSRNOG00000053306	Washc1	100287171
ENSRNOG00000017403	Apobr	55911
ENSRNOG00000021020	Gpha2	170589
ENSRNOG00000024040	Mb21d2	151963
ENSRNOG00000058662	Ano8	57719
ENSRNOG00000023799	Pak1ip1	55003
ENSRNOG00000026067	Wfdc10a	140832
ENSRNOG00000040266	Cdkl4	344387
ENSRNOG00000034000	AABR07002659.1	90273
ENSRNOG00000005353	Rybp	23429
ENSRNOG00000016763	Fgfr4	2264
ENSRNOG00000058563	Spdye4	102723849
ENSRNOG00000005975	LOC100362027	6156
ENSRNOG00000012729	Mfsd8	256471
ENSRNOG00000038101	Psg19	90273
ENSRNOG00000024947	Fabp2	2169
ENSRNOG00000056376	Dusp22	56940
ENSRNOG00000008577	Fbf1	85302
ENSRNOG00000058133	Ppm1n	147699
ENSRNOG00000015072	Ptgr1	22949
ENSRNOG00000005115	Asf1b	55723
ENSRNOG00000013987	Sbno2	22904
ENSRNOG00000018823	Nisch	11188
ENSRNOG00000016368	Ppp1r14c	81706
ENSRNOG00000021007	Snx15	29907
ENSRNOG00000050428	Olr777	26683
ENSRNOG00000054336	Majin	283129
ENSRNOG00000025239	Nudt15	55270
ENSRNOG00000038202	Calml4	91860
ENSRNOG00000007867	Rngtt	8732
ENSRNOG00000009355	Ogfr	11054
ENSRNOG00000039265	Psmg4	389362
ENSRNOG00000000129	Phf24	23349
ENSRNOG00000025645	Abca13	154664
ENSRNOG00000013441	Gnrh1	2796
ENSRNOG00000017198	Hif3a	64344
ENSRNOG00000017456	Vstm2b	342865
ENSRNOG00000027115	Zc2hc1c	79696
ENSRNOG00000000422	Dxo	1797
ENSRNOG00000020770	Arl4d	379
ENSRNOG00000012808	Tmem259	91304
ENSRNOG00000051688	Syt15	83849
ENSRNOG00000008530	Stoml1	9399
ENSRNOG00000036700	Fscn2	25794
ENSRNOG00000050305	LOC100911854	4153
ENSRNOG00000042628	Tmem273	170371
ENSRNOG00000017843	Polr3k	51728
ENSRNOG00000049430	Mpv17	4358
ENSRNOG00000009836	Rbm26	64062
ENSRNOG00000028688	Ctns	1497
ENSRNOG00000006327	Rcc2	55920
ENSRNOG00000047697	Ggt1	728226
ENSRNOG00000047697	Ggt1	728441
ENSRNOG00000003457	Bicdl2	146439
ENSRNOG00000003815	Slc25a11	8402
ENSRNOG00000008243	Slc43a1	8501
ENSRNOG00000000230	Lmf1	64788
ENSRNOG00000050262	LOC102547011	653061
ENSRNOG00000050262	LOC102547011	653641
ENSRNOG00000050262	LOC102547011	653643
ENSRNOG00000017828	Egr3	1960
ENSRNOG00000001215	Cfap410	755
ENSRNOG00000048967	LOC688459	135398
ENSRNOG00000055042	Gprin2	9721
ENSRNOG00000021359	Mtfr1	9650
ENSRNOG00000008658	Mitf	4286
ENSRNOG00000022395	Tnrc6c	57690
ENSRNOG00000050315	Dcxr	51181
ENSRNOG00000061429	Rph3al	9501
ENSRNOG00000014443	Pde5a	8654
ENSRNOG00000015865	Ap2s1	1175
ENSRNOG00000018281	Uqcrfs1	7386
ENSRNOG00000004505	Nfic	4782
ENSRNOG00000059492	LOC100365363	79788
ENSRNOG00000005828	Skp1	6500
ENSRNOG00000008989	Cryl1	51084
ENSRNOG00000009640	Psmf1	9491
ENSRNOG00000001227	Adarb1	104
ENSRNOG00000042158	Ceacam12	1089
ENSRNOG00000042158	Ceacam12	1087
ENSRNOG00000042158	Ceacam12	1048
ENSRNOG00000042158	Ceacam12	4680
ENSRNOG00000011381	Acsbg1	23205
ENSRNOG00000060599	Gabrb3	2562
ENSRNOG00000022567	Gpr62	118442
ENSRNOG00000007164	Cln6	54982
ENSRNOG00000015713	Parva	55742
ENSRNOG00000009662	Rspo4	343637
ENSRNOG00000009826	Bche	590
ENSRNOG00000002079	Mapk10	5602
ENSRNOG00000004159	Flii	2314
ENSRNOG00000003879	Rnf167	26001
ENSRNOG00000059245	Rad51b	5890
ENSRNOG00000015852	Arhgap35	2909
ENSRNOG00000001032	Ccz1b	51622
ENSRNOG00000016629	Tut7	79670
ENSRNOG00000043060	Dnajc4	3338
ENSRNOG00000007540	Msc	9242
ENSRNOG00000010172	Mkrn3	7681
ENSRNOG00000049361	Gas7	8522
ENSRNOG00000012494	Kctd14	65987
ENSRNOG00000030714	Bsn	8927
ENSRNOG00000019902	Folr1	2348
ENSRNOG00000059776	Tnks2	80351
ENSRNOG00000014197	Tmem51	55092
ENSRNOG00000053659	RGD1311703	10944
ENSRNOG00000050114	Fam228a	653140
ENSRNOG00000027860	Ggnbp2	79893
ENSRNOG00000043329	Rnf180	285671
ENSRNOG00000052455	LOC100910245	5634
ENSRNOG00000020626	Snrnp25	79622
ENSRNOG00000006052	Sulf2	55959
ENSRNOG00000018089	Sra1	10011
ENSRNOG00000034000	AABR07002659.1	1089
ENSRNOG00000034000	AABR07002659.1	1087
ENSRNOG00000034000	AABR07002659.1	1048
ENSRNOG00000034000	AABR07002659.1	4680
ENSRNOG00000048319	AABR07071278.1	729627
ENSRNOG00000048319	AABR07071278.1	389151
ENSRNOG00000048319	AABR07071278.1	389152
ENSRNOG00000012383	Ndufc2	4718
ENSRNOG00000012383	Ndufc2	100532726
ENSRNOG00000000130	Dnajb5	25822
ENSRNOG00000058563	Spdye4	100996746
ENSRNOG00000058563	Spdye4	102723849
ENSRNOG00000042705	Zc2hc1b	153918
ENSRNOG00000013368	Plcl2	23228
ENSRNOG00000018517	Trim21	6737
ENSRNOG00000018481	Zpr1	8882
ENSRNOG00000020077	Fam170b	170370
ENSRNOG00000019746	Paf1	54623
ENSRNOG00000011709	Pum1	9698
ENSRNOG00000019400	Dag1	1605
ENSRNOG00000053448	AC123346.1	8639
ENSRNOG00000059043	Itch	83737
ENSRNOG00000023384	Defb20	245939
ENSRNOG00000003085	Mycs	4613
ENSRNOG00000047657	C4a	720
ENSRNOG00000047657	C4a	110384692
ENSRNOG00000011284	Sgms2	166929
ENSRNOG00000018145	Crat	1384
ENSRNOG00000034272	Pias1	8554
ENSRNOG00000052637	Samd1	90378
ENSRNOG00000010125	Mtrex	23517
ENSRNOG00000000432	Fkbpl	63943
ENSRNOG00000003497	Thoc6	79228
ENSRNOG00000003948	Llgl1	3996
ENSRNOG00000018494	Ppp1r3c	5507
ENSRNOG00000000519	Stk38	11329
ENSRNOG00000033522	Prdm2	7799
ENSRNOG00000049615	Fam228b	375190
ENSRNOG00000059891	Mrgbp	55257
ENSRNOG00000008223	Cnr1	1268
ENSRNOG00000039581	AABR07027111.1	727905
ENSRNOG00000039581	AABR07027111.1	727830
ENSRNOG00000001877	Med15	51586
ENSRNOG00000050233	Cchcr1	54535
ENSRNOG00000020478	Camk4	814
ENSRNOG00000027300	Ttc7b	145567
ENSRNOG00000053114	Defb26	245938
ENSRNOG00000045955	NEWGENE_1308612	55257
ENSRNOG00000037079	Padi6	353238
ENSRNOG00000007354	Trpa1	8989
ENSRNOG00000025679	Stk40	83931
ENSRNOG00000020474	Pin1	5300
ENSRNOG00000000940	Flt1	2321
ENSRNOG00000011637	AABR07006691.1	4153
ENSRNOG00000008232	Spaca1	81833
ENSRNOG00000006744	Acyp1	97
ENSRNOG00000011936	Abhd14a	25864
ENSRNOG00000018456	LOC498750	81688
ENSRNOG00000018415	Acot13	55856
ENSRNOG00000016725	Elp1	8518
ENSRNOG00000045740	Tmx3	54495
ENSRNOG00000052129	Nwd1	284434
ENSRNOG00000061716	AABR07071278.2	729627
ENSRNOG00000061716	AABR07071278.2	389151
ENSRNOG00000061716	AABR07071278.2	389152
ENSRNOG00000039473	Ccdc152	100129792
ENSRNOG00000007960	Theg	51298
ENSRNOG00000021106	Gramd1a	57655
ENSRNOG00000049394	LOC100912599	4726
ENSRNOG00000057378	Clec16a	23274
ENSRNOG00000045656	Wfdc13	164237
ENSRNOG00000004479	Aurka	6790
ENSRNOG00000016405	Pcsk4	54760
ENSRNOG00000054648	Tspy1	728137
ENSRNOG00000054648	Tspy1	7258
ENSRNOG00000054648	Tspy1	100289087
ENSRNOG00000047967	Arhgef19	128272
ENSRNOG00000059834	Cib2	10518
ENSRNOG00000046086	Tmc8	147138
ENSRNOG00000058694	Alg5	29880
ENSRNOG00000046172	Sf3b6	51639
ENSRNOG00000003123	Rpa1	6117
ENSRNOG00000011963	Tas2r119	50834
ENSRNOG00000013389	AABR07007916.1	401190
ENSRNOG00000057650	Hoxa10	3206
ENSRNOG00000026636	Urm1	81605
ENSRNOG00000003542	AABR07029198.1	54985
ENSRNOG00000000854	Ncr3	259197
ENSRNOG00000021240	Atrn	8455
ENSRNOG00000015370	Slc35g2	80723
ENSRNOG00000001629	Wrb	7485
ENSRNOG00000039019	Vom1r21	317703
ENSRNOG00000022141	Ctdspl2	51496
ENSRNOG00000025949	Vom1r22	317703
ENSRNOG00000031298	Lrrc3c	100505591
ENSRNOG00000047505	Tubb4a	10382
ENSRNOG00000039415	Fchsd1	89848
ENSRNOG00000053469	AABR07030861.1	11322
ENSRNOG00000057557	Prlr	5618
ENSRNOG00000009004	Lrriq4	344657
ENSRNOG00000039574	LOC689569	727905
ENSRNOG00000039574	LOC689569	727830
ENSRNOG00000010803	Gabra5	2558
ENSRNOG00000016834	Wdr37	22884
ENSRNOG00000042250	Cgm4	1089
ENSRNOG00000042250	Cgm4	1087
ENSRNOG00000042250	Cgm4	1048
ENSRNOG00000042250	Cgm4	4680
ENSRNOG00000033980	Wfdc11	259239
ENSRNOG00000004415	Togaram1	23116
ENSRNOG00000008184	Esrp1	54845
ENSRNOG00000028382	Rfxapl1	5994
ENSRNOG00000049942	RGD1564899	118461
ENSRNOG00000021090	Pygm	5837
ENSRNOG00000001036	Rsph10b	222967
ENSRNOG00000000443	LOC103689965	720
ENSRNOG00000000443	LOC103689965	110384692
ENSRNOG00000002061	Ptpn13	5783
ENSRNOG00000003543	Gpr143	4935
ENSRNOG00000019831	Samd4b	55095
ENSRNOG00000023023	Trpt1	83707
ENSRNOG00000007951	Galnt14	79623
ENSRNOG00000017620	Ceacam11	1089
ENSRNOG00000017620	Ceacam11	1087
ENSRNOG00000017620	Ceacam11	1048
ENSRNOG00000017620	Ceacam11	4680
ENSRNOG00000010161	Myo10	4651
ENSRNOG00000030729	C4b	720
ENSRNOG00000030729	C4b	110384692
ENSRNOG00000013048	Pde7a	5150
ENSRNOG00000007943	Gsdma	284110
ENSRNOG00000013351	Stxbp5	134957
ENSRNOG00000002821	Phlpp1	23239
ENSRNOG00000023407	LOC100910528	64979
ENSRNOG00000039808	Isx	91464
ENSRNOG00000010813	Tspan14	81619
ENSRNOG00000018649	Slc35c2	51006
ENSRNOG00000017481	Sucla2	8803
ENSRNOG00000015957	F13a1	2162
ENSRNOG00000014975	Zfp483	158399
ENSRNOG00000011162	Smco4	56935
ENSRNOG00000011140	Prxl2a	84293
ENSRNOG00000007817	Kctd6	200845
ENSRNOG00000007291	Terf1	7013
ENSRNOG00000017445	Tubb2b	347733
ENSRNOG00000013547	Slc6a12	6539
ENSRNOG00000043425	AC126572.4	100996746
ENSRNOG00000043425	AC126572.4	102723849
ENSRNOG00000011189	Acy1	95
ENSRNOG00000000436	Egfl8	80864
ENSRNOG00000030775	Adarb2	105
ENSRNOG00000043304	Apcdd1	147495
ENSRNOG00000018689	RGD1305464	56905
ENSRNOG00000001823	St6gal1	6480
ENSRNOG00000019575	Rell2	285613
ENSRNOG00000005185	Nxph3	11248
ENSRNOG00000005333	Azin1	51582
ENSRNOG00000019208	P2rx5	5026
ENSRNOG00000025637	Saxol1	158297
ENSRNOG00000001864	Tmem191c	728229
